code_comptable,bank_count,uni_count,mall_count,residential_count,population_radius,lat,lon
1102,8.0,0.0,2.0,0.0,58533,27.8662700653076,-0.282842010259628
1109,8.0,0.0,2.0,0.0,45606,27.8928928375244,-0.304791986942291
1111,8.0,0.0,2.0,0.0,52044,27.8907413482666,-0.284996002912521
1112,8.0,0.0,2.0,0.0,330,27.9809875488281,-0.286547005176544
1212,8.0,0.0,2.0,0.0,8812,27.87619972229,-0.34145399928093
2101,5.0,1.0,1.0,0.0,47863,36.1617012023926,1.32070004940033
2102,5.0,1.0,1.0,0.0,70624,36.1755981445312,1.32770001888275
2104,5.0,1.0,1.0,0.0,17767,36.1458015441895,1.32299995422363
2105,5.0,1.0,1.0,0.0,64119,36.1637992858887,1.3371000289917
2107,5.0,1.0,0.0,0.0,14228,36.1609001159668,1.36640000343323
2108,5.0,1.0,1.0,0.0,13131,36.1436996459961,1.34599995613098
2115,5.0,0.0,0.0,0.0,18847,36.1920013427734,1.34669995307922
2117,5.0,1.0,1.0,0.0,23124,36.1549987792969,1.35239994525909
2120,1.0,1.0,1.0,0.0,23059,36.1455993652344,1.31159996986389
2121,5.0,1.0,1.0,0.0,37109,36.1562995910645,1.33990001678467
2122,5.0,1.0,1.0,0.0,68250,36.1697006225586,1.34070003032684
2123,4.0,0.0,1.0,0.0,28952,36.1558532714844,1.30460274219513
2126,4.0,0.0,1.0,0.0,25974,36.1513786315918,1.30776596069336
2300,2.0,0.0,0.0,0.0,35891,36.5106010437012,1.30610001087189
2319,2.0,0.0,0.0,0.0,4812,36.5008010864258,1.31420004367828
2324,2.0,0.0,0.0,0.0,35968,36.5108985900879,1.30799996852875
2400,2.0,0.0,1.0,0.0,22729,36.0681991577148,1.12890005111694
2401,1.0,0.0,0.0,0.0,17399,36.1624984741211,0.971300005912781
2410,1.0,0.0,0.0,0.0,847,36.1525993347168,1.00279998779297
2421,2.0,0.0,1.0,0.0,22623,36.067699432373,1.12609994411469
2427,2.0,0.0,1.0,0.0,13770,36.055980682373,1.13469099998474
2428,1.0,0.0,0.0,0.0,15181,36.1633987426758,0.981100022792816
4100,9.0,1.0,0.0,0.0,23823,35.8699989318848,7.09999990463257
4101,3.0,0.0,0.0,1.0,11175,35.8800010681152,7.15000009536743
4104,9.0,1.0,0.0,0.0,10704,35.8899993896484,7.11999988555908
4108,9.0,1.0,0.0,1.0,38714,35.8699989318848,7.1100001335144
4113,9.0,1.0,0.0,0.0,28900,35.8800010681152,7.09999990463257
4301,4.0,0.0,0.0,0.0,61153,35.7900009155273,7.38000011444092
4302,4.0,0.0,0.0,0.0,22770,35.7799987792969,7.3899998664856
4422,1.0,0.0,0.0,0.0,30516,36.060001373291,6.57999992370605
4429,2.0,0.0,0.0,0.0,56419,36.0499992370605,6.57000017166138
5116,12.0,0.0,3.0,1.0,263027,35.5545425415039,6.15447473526001
5120,12.0,0.0,3.0,1.0,73863,35.5501518249512,6.1274528503418
5121,12.0,0.0,3.0,1.0,156756,35.5622062683105,6.19568872451782
5127,12.0,0.0,3.0,1.0,311955,35.55597,6.17414
5304,2.0,0.0,0.0,0.0,16101,35.2420349121094,6.33078718185425
5419,4.0,0.0,0.0,0.0,279,35.5032997131348,6.1257791519165
5600,3.0,0.0,0.0,0.0,52096,35.3899993896484,5.90999984741211
5613,3.0,0.0,0.0,0.0,18154,35.3991088867188,5.91983890533447
5703,12.0,0.0,3.0,2.0,17942,35.5243988037109,6.20709991455078
5704,1.0,0.0,0.0,0.0,637,35.4403038024902,5.35227203369141
5706,2.0,0.0,0.0,0.0,30536,35.4028816223145,5.3912410736084
5715,2.0,0.0,0.0,0.0,82351,35.3947105407715,5.34172677993774
5717,2.0,0.0,0.0,0.0,5176,35.4244575500488,5.39187717437744
5718,1.0,0.0,0.0,0.0,3457,35.3310050964355,5.3641300201416
5719,2.0,0.0,0.0,0.0,29579,35.4059715270996,5.39194583892822
5908,2.0,0.0,0.0,0.0,3339,35.2859878540039,6.37292623519897
6100,12.0,1.0,1.0,0.0,88102,36.75,5.06666994094849
6105,12.0,1.0,1.0,0.0,96082,36.75,5.05673313140869
6120,12.0,1.0,1.0,0.0,96082,36.75,5.05670022964478
6121,12.0,0.0,1.0,0.0,72264,36.753612,5.073396
6122,12.0,1.0,1.0,0.0,70938,36.7501633,5.0715664
7100,10.0,1.0,0.0,0.0,184731,34.8525276184082,5.73059320449829
7102,10.0,1.0,0.0,0.0,168543,34.8324928283691,5.72413110733032
7103,10.0,1.0,0.0,0.0,125487,34.8588562011719,5.7418851852417
7104,10.0,1.0,0.0,0.0,225769,34.8459892272949,5.7174506187439
7105,10.0,1.0,0.0,0.0,54629,34.8262367248535,5.75103139877319
7107,10.0,1.0,0.0,0.0,203242,34.8489379882812,5.70827627182007
7109,10.0,1.0,0.0,0.0,166817,34.8563537597656,5.71149921417236
7110,10.0,1.0,0.0,0.0,128888,34.8530578613281,5.74099111557007
7112,10.0,0.0,0.0,0.0,89942,34.8259811401367,5.69747877120972
7115,10.0,1.0,0.0,0.0,115667,34.8450584411621,5.74735927581787
7118,10.0,1.0,0.0,0.0,80480,34.8549118041992,5.74883127212524
7119,10.0,0.0,0.0,0.0,37837,34.8272438049316,5.68094778060913
7120,10.0,1.0,0.0,0.0,167106,34.8604011535645,5.7178168296814
7121,10.0,1.0,0.0,0.0,180131,34.85038,5.72805
7304,6.0,1.0,0.0,0.0,9046,34.8493881225586,5.79372692108154
8100,9.0,1.0,2.0,2.0,108348,31.6165199279785,-2.21463990211487
8101,4.0,1.0,2.0,2.0,23678,31.5631198883057,-2.23414993286133
8103,9.0,1.0,2.0,2.0,67666,31.5990619659424,-2.22258496284485
8104,9.0,1.0,2.0,2.0,70451,31.6238460540771,-2.19743490219116
8105,9.0,0.0,1.0,0.0,17255,31.6521701812744,-2.18398690223694
8106,9.0,1.0,2.0,2.0,106923,31.6187381744385,-2.21359491348267
8108,9.0,1.0,2.0,2.0,78505,31.6095542907715,-2.21359491348267
8112,9.0,1.0,2.0,2.0,93733,31.6209583282471,-2.204754114151
8113,9.0,1.0,2.0,2.0,109947,31.6109962463379,-2.22422909736633
8116,9.0,1.0,2.0,2.0,52082,31.584924697876,-2.2259418964386
8117,9.0,1.0,2.0,2.0,68187,31.5944747924805,-2.23222899436951
8118,9.0,1.0,2.0,2.0,71916,31.6326293945312,-2.197429895401
8119,9.0,1.0,2.0,2.0,32734,31.5735492706299,-2.23025608062744
8121,9.0,1.0,2.0,2.0,86758,31.6075286865234,-2.22057604789734
8122,9.0,1.0,2.0,2.0,116736,31.6238460540771,-2.22247004508972
8123,9.0,1.0,2.0,2.0,86501,31.603702545166,-2.23444104194641
8125,9.0,1.0,1.0,1.0,44123,31.652811050415,-2.22380805015564
8126,9.0,1.0,2.0,2.0,48655,31.5827617645264,-2.24027609825134
8128,9.0,1.0,2.0,2.0,70361,31.6375617980957,-2.19923901557922
8129,9.0,1.0,2.0,2.0,101415,31.6385803222656,-2.22277998924255
8130,9.0,1.0,2.0,2.0,16500,31.5756492614746,-2.20777010917664
8133,9.0,1.0,2.0,2.0,113376,31.61667,-2.21667
10100,14.0,1.0,1.0,1.0,47787,36.3768882751465,3.90021204948425
10103,14.0,1.0,1.0,1.0,21831,36.3758316040039,3.88115000724792
10104,14.0,1.0,1.0,1.0,30945,36.3717002868652,3.88930010795593
10107,14.0,1.0,1.0,1.0,11725,36.388801574707,3.88170003890991
10108,13.0,1.0,1.0,1.0,16454,36.3568992614746,3.90400004386902
10109,14.0,1.0,1.0,1.0,29097,36.3891563415527,3.88670897483826
10110,14.0,1.0,1.0,1.0,25686,36.3772048950195,3.88404631614685
10113,14.0,1.0,1.0,1.0,19140,36.3791007995605,3.87610006332397
10114,14.0,1.0,1.0,1.0,8596,36.3680992126465,3.87140011787415
10115,11.0,1.0,0.0,0.0,17866,36.4014015197754,3.89359998703003
10117,14.0,1.0,1.0,1.0,47787,36.37489,3.902
11100,1.0,0.0,2.0,0.0,91892,22.7833309173584,5.51666688919067
11102,1.0,0.0,2.0,0.0,87141,22.7833003997803,5.53329992294312
11106,1.0,0.0,2.0,0.0,269,22.7333297729492,5.51666688919067
11107,1.0,0.0,2.0,0.0,37144,22.7666702270508,5.53333282470703
11109,1.0,0.0,2.0,0.0,0,22.8799991607666,5.5
11113,1.0,0.0,2.0,0.0,39607,22.7666702270508,5.51666688919067
11114,1.0,0.0,2.0,0.0,5869,22.8166694641113,5.48333311080933
12100,5.0,0.0,0.0,0.0,171405,35.4257278442383,8.11285209655762
12105,5.0,0.0,0.0,0.0,17674,35.4216690063477,8.06674957275391
12107,5.0,0.0,0.0,0.0,155009,35.4079513549805,8.10471057891846
12108,5.0,0.0,0.0,0.0,178066,35.410327911377,8.13107013702393
12109,5.0,0.0,0.0,0.0,174686,35.4244651794434,8.10989475250244
12112,5.0,0.0,0.0,0.0,26852,35.4204597473145,8.07547283172607
12113,5.0,0.0,0.0,0.0,197438,35.4046592712402,8.11928844451904
12115,2.0,0.0,0.0,0.0,11095,35.4274864196777,8.05497741699219
12116,5.0,0.0,0.0,0.0,80281,35.4274864196777,8.09327983856201
12117,5.0,0.0,0.0,0.0,97575,35.394359588623,8.11105155944824
12118,5.0,0.0,0.0,0.0,65997,35.418041229248,8.08516025543213
12122,5.0,0.0,0.0,0.0,168010,35.429012,8.123231
12400,1.0,0.0,0.0,0.0,14146,35.8656997680664,7.88771295547485
12405,1.0,0.0,0.0,0.0,1901,35.8689117431641,7.83065986633301
13109,19.0,2.0,4.0,0.0,68407,34.895329,-1.330204
13111,19.0,2.0,4.0,0.0,54444,34.877466,-1.310015
13113,19.0,2.0,4.0,0.0,80442,34.889955,-1.31417
13114,19.0,1.0,2.0,0.0,51586,34.8814289,-1.3049306083569774
13222,31.0,3.0,9.0,11.0,191129,36.74152305,3.0614524943296093
13224,1.0,1.0,1.0,0.0,39562,34.920304,-1.303009
13300,11.0,1.0,5.0,0.0,37180,35.2904288,-1.1388535
13604,6.0,0.0,0.0,0.0,23201,35.304351,-1.382646
13616,19.0,2.0,4.0,0.0,75774,34.883206,-1.315454
13801,19.0,2.0,4.0,0.0,54497,34.876091,-1.313818
14102,12.0,4.0,1.0,0.0,168816,35.3757019042969,1.31120002269745
14104,12.0,4.0,1.0,0.0,139697,35.3521995544434,1.31700003147125
14105,12.0,4.0,1.0,0.0,109289,35.3450012207031,1.31889998912811
14106,12.0,4.0,1.0,0.0,132790,35.3856010437012,1.31610000133514
14110,12.0,4.0,1.0,0.0,210326,35.3713989257812,1.32152199745178
14112,12.0,4.0,1.0,0.0,206178,35.37103,1.31699
14117,2.0,0.0,0.0,0.0,57696,35.202114,1.482585
14208,5.0,1.0,1.0,0.0,26961,36.198858,1.322528
14210,1.0,0.0,0.0,0.0,14998,35.4286346435547,1.78473997116089
14215,12.0,4.0,1.0,0.0,192571,35.3727144,1.3201111
14300,2.0,0.0,0.0,0.0,80720,35.1841173,1.5040629
14412,2.0,0.0,0.0,0.0,86357,35.1919154,1.4867373
